legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
a21195b1b4179a7770b57d4d7bf02520,4/16/2022,4/17/2022,ATL,IAD,K0AIZNN1,PT4H57M,0,FALSE,FALSE,FALSE,413.02,466.1,1,555,1650198000||1650210060,2022-04-17T08:20:00.000-04:00||2022-04-17T11:41:00.000-04:00,1650203400||1650215820,2022-04-17T09:50:00.000-04:00||2022-04-17T13:17:00.000-04:00,CLT||IAD,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A320||Canadair Regional Jet 900,5400||5760,228||327,coach||coach
db9ef888e9a4c51f44d6a5a80556156a,4/16/2022,4/17/2022,ATL,IAD,K0AIZNN1,PT6H17M,0,FALSE,FALSE,FALSE,413.02,466.1,2,555,1650193200||1650210060,2022-04-17T07:00:00.000-04:00||2022-04-17T11:41:00.000-04:00,1650198060||1650215820,2022-04-17T08:21:00.000-04:00||2022-04-17T13:17:00.000-04:00,CLT||IAD,ATL||CLT,American Airlines||American Airlines,AA||AA,Airbus A319||Canadair Regional Jet 900,4860||5760,228||327,coach||coach
8e5ab0d1027672c8d360fdfea6730e10,4/16/2022,4/17/2022,ATL,IAD,KA0QA0MQ,PT8H24M,1,FALSE,FALSE,FALSE,407.44,467.2,9,855,1650251400||1650277500,2022-04-17T23:10:00.000-04:00||2022-04-18T06:25:00.000-04:00,1650257700||1650281640,2022-04-18T00:55:00.000-04:00||2022-04-18T07:34:00.000-04:00,CLE||IAD,ATL||CLE,Delta||United,DL||UA,Airbus A321||Boeing 737-800,6300||4140,556||299,coach||coach
a0636d389953bb7c77a545e1e903c1d4,4/16/2022,4/17/2022,ATL,IAD,KA0OX0MC,PT6H43M,0,FALSE,FALSE,FALSE,425.11,486.19,1,722,1650219000||1650239520,2022-04-17T14:10:00.000-04:00||2022-04-17T19:52:00.000-04:00,1650224700||1650243180,2022-04-17T15:45:00.000-04:00||2022-04-17T20:53:00.000-04:00,PIT||IAD,ATL||PIT,Delta||United,DL||UA,Airbus A320||Embraer 175 (Enhanced Winglets),5700||3660,528||194,coach||coach
d1dd5b0d62f73df50fb87f9ba92cc916,4/16/2022,4/17/2022,ATL,IAD,KA0OX0MC,PT9H54M,0,FALSE,FALSE,FALSE,425.11,486.19,1,722,1650207540||1650239520,2022-04-17T10:59:00.000-04:00||2022-04-17T19:52:00.000-04:00,1650213360||1650243180,2022-04-17T12:36:00.000-04:00||2022-04-17T20:53:00.000-04:00,PIT||IAD,ATL||PIT,Delta||United,DL||UA,Airbus A320||Embraer 175 (Enhanced Winglets),5820||3660,528||194,coach||coach
509b06f58af34d0275e22a38396bd78e,4/16/2022,4/17/2022,ATL,IAD,KA0OX0MC,PT8H50M,1,FALSE,FALSE,FALSE,426.05,487.2,2,760,1650249540||1650276900,2022-04-17T22:39:00.000-04:00||2022-04-18T06:15:00.000-04:00,1650254880||1650281340,2022-04-18T00:08:00.000-04:00||2022-04-18T07:29:00.000-04:00,CMH||IAD,ATL||CMH,Delta||United,DL||UA,Boeing 737-800||Embraer 175 (Enhanced Winglets),5340||4440,449||311,coach||coach
f824ae9b9c3dc932ff6f3ae18a300ed0,4/16/2022,4/17/2022,ATL,IAD,LA0SA0MC,PT7H56M,0,FALSE,FALSE,FALSE,430.69,492.19,4,983,1650223620||1650246600,2022-04-17T15:27:00.000-04:00||2022-04-17T21:50:00.000-04:00,1650231900||1650252180,2022-04-17T17:45:00.000-04:00||2022-04-17T23:23:00.000-04:00,JFK||IAD,ATL||JFK,Delta||Delta,DL||DL,Boeing 767||Embraer 175,8280||5580,762||221,coach||coach
3553d6aca390546c031abba5a166afa5,4/16/2022,4/17/2022,ATL,IAD,BA0OA0MQ,PT1H37M,1,FALSE,FALSE,TRUE,450.23,498.6,8,541,1650250680,2022-04-17T22:58:00.000-04:00,1650256500,2022-04-18T00:35:00.000-04:00,IAD,ATL,Delta,DL,Airbus A319,5820,541,coach
ec9e2052977b878e5752354f9b121361,4/16/2022,4/17/2022,ATL,IAD,BA0OA0MQ,PT1H38M,0,FALSE,FALSE,TRUE,450.23,498.6,5,541,1650228000,2022-04-17T16:40:00.000-04:00,1650233880,2022-04-17T18:18:00.000-04:00,IAD,ATL,Delta,DL,Airbus A320,5880,541,coach
bca662c310a237bbe2015c3b269a5668,4/16/2022,4/17/2022,ATL,IAD,H0AHZNN1,PT5H52M,0,FALSE,FALSE,FALSE,450.23,506.1,1,555,1650207720||1650223800,2022-04-17T11:02:00.000-04:00||2022-04-17T15:30:00.000-04:00,1650212880||1650228840,2022-04-17T12:28:00.000-04:00||2022-04-17T16:54:00.000-04:00,CLT||IAD,ATL||CLT,American Airlines||American Airlines,AA||AA,Canadair Regional Jet 900||Canadair Regional Jet 900,5160||5040,228||327,coach||coach
